Locus	Aver. coding region length(bp)	Aver. flanking region length(bp)	Alignment length(bp)	Aver. GC content(%)	Missing data(%)	Pairwise distance
Gasterosteus_aculeatus.groupXIX.6856985.6857107	121.26	209.51	123	48.40	1.42	0.03
Gasterosteus_aculeatus.groupXIX.6865991.6865791	195.60	184.69	201	52.02	2.69	0.03
Gasterosteus_aculeatus.groupXIX.7096256.7096079	164.91	220.57	165	54.70	0.06	0.05
Gasterosteus_aculeatus.groupXIX.7402739.7402616	119.74	256.64	120	48.30	0.22	0.02
Gasterosteus_aculeatus.groupXIX.9055879.9056050	169.94	171.96	171	63.18	0.62	0.02
Gasterosteus_aculeatus.groupXIX.9056414.9056543	124.39	226.10	126	60.32	1.27	0.02
Gasterosteus_aculeatus.groupXV.11298907.11298719	187.65	193.43	189	63.88	0.71	0.05
Gasterosteus_aculeatus.groupXV.11645425.11645270	153.94	190.84	156	56.55	1.32	0.02
Gasterosteus_aculeatus.groupXV.11713202.11713028	172.22	138.98	174	59.12	1.02	0.12
Gasterosteus_aculeatus.groupXV.12203788.12203914	121.89	240.57	123	43.31	0.90	0.01
Gasterosteus_aculeatus.groupXV.13154265.13154397	131.79	319.74	132	54.42	0.16	0.00
Gasterosteus_aculeatus.groupXV.13155790.13155981	155.78	180.71	159	52.39	2.03	0.02
Gasterosteus_aculeatus.groupXV.13254835.13254619	215.70	257.00	216	56.39	0.14	0.02
Gasterosteus_aculeatus.groupXV.13283608.13283410	195.16	225.16	198	58.66	1.43	0.03
Gasterosteus_aculeatus.groupXV.14111585.14111745	158.63	192.79	159	57.83	0.23	0.06
Gasterosteus_aculeatus.groupXV.1590426.1590064	356.77	106.15	366	65.57	2.52	0.06
Gasterosteus_aculeatus.groupXV.1659212.1659072	140.56	237.18	141	53.84	0.31	0.02
Gasterosteus_aculeatus.groupXV.1761807.1761963	153.47	206.97	156	54.26	1.62	0.02
Gasterosteus_aculeatus.groupXV.1773228.1773370	140.47	254.61	141	60.42	0.37	0.02
Gasterosteus_aculeatus.groupXV.1774666.1774877	210.00	218.03	210	63.04	0.00	0.04
Gasterosteus_aculeatus.groupXV.1775459.1775610	147.88	199.31	150	60.83	1.41	0.02
Gasterosteus_aculeatus.groupXV.1776534.1776774	239.63	218.22	240	62.26	0.15	0.02
Gasterosteus_aculeatus.groupXV.1781433.1781631	197.01	247.58	198	61.68	0.50	0.02
Gasterosteus_aculeatus.groupXV.1789232.1789430	193.93	188.64	195	60.06	0.55	0.01
Gasterosteus_aculeatus.groupXV.1794268.1794530	262.29	203.92	279	58.31	5.99	0.04
Gasterosteus_aculeatus.groupXV.1796520.1796733	200.46	173.10	213	67.19	5.89	0.02
Gasterosteus_aculeatus.groupXV.1798721.1798874	147.47	210.92	150	61.45	1.69	0.02
Gasterosteus_aculeatus.groupXV.1800058.1800215	152.70	172.00	156	64.27	2.11	0.03
Gasterosteus_aculeatus.groupXV.1802208.1802402	188.16	242.58	195	64.28	3.51	0.04
Gasterosteus_aculeatus.groupXV.1997572.1997424	146.35	238.80	147	45.25	0.44	0.03
Gasterosteus_aculeatus.groupXV.2873995.2874129	131.97	264.87	132	54.75	0.02	0.01
Gasterosteus_aculeatus.groupXV.298816.298643	169.61	212.06	171	56.23	0.81	0.06
Gasterosteus_aculeatus.groupXV.4774032.4771458	1097.68	136.26	1275	52.13	13.91	0.05
Gasterosteus_aculeatus.groupXV.4830456.4830214	231.75	207.88	243	53.18	4.63	0.13
Gasterosteus_aculeatus.groupXV.4920210.4920056	120.06	162.14	123	54.03	2.39	0.05
Gasterosteus_aculeatus.groupXV.4924129.4923996	131.80	266.89	132	52.46	0.15	0.03
Gasterosteus_aculeatus.groupXV.4924439.4924319	119.55	268.46	120	49.58	0.38	0.02
Gasterosteus_aculeatus.groupXV.4938407.4938684	271.81	218.74	273	61.10	0.44	0.03
Gasterosteus_aculeatus.groupXV.4998534.4998654	115.81	232.76	117	45.16	1.02	0.02
Gasterosteus_aculeatus.groupXV.4999838.5000087	190.39	215.88	195	58.72	2.37	0.03
Gasterosteus_aculeatus.groupXV.5385634.5386146	508.68	229.59	513	54.14	0.84	0.03
Gasterosteus_aculeatus.groupXV.5416784.5416596	185.33	264.54	186	60.42	0.36	0.01
Gasterosteus_aculeatus.groupXV.5417389.5417186	200.84	254.54	201	56.30	0.08	0.02
Gasterosteus_aculeatus.groupXV.5417677.5417494	180.94	226.90	183	56.53	1.13	0.05
Gasterosteus_aculeatus.groupXV.5418104.5417929	173.67	256.02	174	53.35	0.19	0.02
Gasterosteus_aculeatus.groupXV.5432014.5431874	136.76	160.98	141	54.91	3.01	0.03
Gasterosteus_aculeatus.groupXV.5433780.5433550	227.86	237.52	231	54.72	1.36	0.02
Gasterosteus_aculeatus.groupXV.5439038.5438868	167.82	221.12	168	45.17	0.11	0.02
Gasterosteus_aculeatus.groupXV.5521623.5521435	182.33	189.67	186	45.84	1.97	0.08
Gasterosteus_aculeatus.groupXV.5522118.5521944	153.82	181.81	168	50.58	8.44	0.06
Gasterosteus_aculeatus.groupXV.5654951.5655699	745.60	260.28	747	58.07	0.19	0.04
Gasterosteus_aculeatus.groupXV.5756393.5755754	627.71	235.49	645	58.81	2.68	0.03
Gasterosteus_aculeatus.groupXV.5815407.5815568	118.37	187.49	120	57.07	1.36	0.03
Gasterosteus_aculeatus.groupXV.7944369.7944235	133.84	232.16	135	54.93	0.86	0.03
Gasterosteus_aculeatus.groupXV.8309583.8309841	252.08	244.81	255	58.47	1.15	0.03
Gasterosteus_aculeatus.groupXV.9651179.9651351	169.08	235.53	171	52.37	1.12	0.05
Gasterosteus_aculeatus.groupXV.9685063.9684846	215.09	179.01	216	55.96	0.42	0.03
Gasterosteus_aculeatus.groupXV.9688035.9687885	147.58	203.83	150	58.19	1.62	0.04
Gasterosteus_aculeatus.groupXV.9689264.9689052	212.62	247.55	213	56.06	0.18	0.03
Gasterosteus_aculeatus.groupXV.9692006.9691802	203.31	273.35	204	55.00	0.34	0.04
Gasterosteus_aculeatus.groupXV.9696816.9696604	213.00	243.79	213	55.64	0.00	0.03
Gasterosteus_aculeatus.groupXV.9813919.9814054	132.00	276.40	132	62.06	0.00	0.01
Gasterosteus_aculeatus.groupXV.9849553.9849703	147.97	196.39	150	55.74	1.35	0.02
Gasterosteus_aculeatus.groupXVI.10380754.10380609	137.95	144.96	141	55.51	2.17	0.02
Gasterosteus_aculeatus.groupXVI.10381095.10380883	209.66	275.46	210	55.86	0.16	0.02
Gasterosteus_aculeatus.groupXVI.10404917.10404597	233.69	199.62	240	43.26	2.63	0.01
Gasterosteus_aculeatus.groupXVI.10413131.10412991	138.00	254.27	138	41.60	0.00	0.03
Gasterosteus_aculeatus.groupXVI.10439226.10439712	475.42	168.67	486	56.95	2.18	0.04
Gasterosteus_aculeatus.groupXVI.10446416.10446282	133.85	256.54	135	48.03	0.85	0.01
Gasterosteus_aculeatus.groupXVI.10658663.10658541	117.00	240.68	117	48.18	0.00	0.03
Gasterosteus_aculeatus.groupXVI.13205403.13205260	143.31	245.18	144	51.15	0.48	0.02
Gasterosteus_aculeatus.groupXVI.14095579.14095432	142.62	257.91	144	51.21	0.96	0.02
Gasterosteus_aculeatus.groupXVI.17690251.17690127	118.68	90.76	123	55.04	3.52	0.04
Gasterosteus_aculeatus.groupXVI.17881136.17881303	165.57	181.08	168	63.22	1.45	0.03
Gasterosteus_aculeatus.groupXVI.17942470.17942670	197.81	262.53	198	58.90	0.09	0.02
Gasterosteus_aculeatus.groupXVI.2241831.2241968	133.19	225.11	135	61.51	1.34	0.03
Gasterosteus_aculeatus.groupXVI.2447231.2447435	199.88	221.62	201	61.16	0.56	0.03
Gasterosteus_aculeatus.groupXVI.2452991.2453116	122.45	226.99	123	59.54	0.45	0.04
Gasterosteus_aculeatus.groupXVI.2475224.2475391	162.32	227.45	165	51.23	1.63	0.04
Gasterosteus_aculeatus.groupXVI.2476903.2477059	153.15	257.35	156	53.88	1.83	0.01
Gasterosteus_aculeatus.groupXVI.2477738.2477980	236.97	258.19	240	62.45	1.26	0.02
Gasterosteus_aculeatus.groupXVI.2581013.2581147	137.26	197.34	144	63.10	4.68	0.01
Gasterosteus_aculeatus.groupXVI.3012640.3012490	149.76	222.29	150	53.76	0.16	0.03
Gasterosteus_aculeatus.groupXVI.3039973.3039818	151.73	210.88	153	58.26	0.83	0.02
Gasterosteus_aculeatus.groupXVI.3195927.3196079	149.47	231.59	150	58.03	0.35	0.02
Gasterosteus_aculeatus.groupXVI.3197511.3197646	132.18	183.29	135	60.02	2.09	0.03
Gasterosteus_aculeatus.groupXVI.3907947.3907752	192.57	213.39	195	62.37	1.25	0.01
Gasterosteus_aculeatus.groupXVI.5864181.5864431	247.05	191.62	249	63.82	0.78	0.04
Gasterosteus_aculeatus.groupXVI.6356286.6355819	412.50	42.50	456	58.66	9.54	0.10
Gasterosteus_aculeatus.groupXVI.6374665.6374869	203.12	233.51	204	52.76	0.43	0.04
Gasterosteus_aculeatus.groupXVI.7213744.7213912	159.91	211.46	165	52.67	3.08	0.04
Gasterosteus_aculeatus.groupXVI.7660834.7661017	179.44	258.51	180	55.54	0.31	0.03
Gasterosteus_aculeatus.groupXVI.7719386.7718937	433.00	113.40	444	52.64	2.48	0.04
Gasterosteus_aculeatus.groupXVI.7739035.7738841	190.52	240.01	192	52.17	0.77	0.03
Gasterosteus_aculeatus.groupXVI.8600325.8600459	134.44	209.51	135	55.29	0.41	0.05
Gasterosteus_aculeatus.groupXVI.9667299.9667178	117.00	273.84	117	52.69	0.00	0.02
Gasterosteus_aculeatus.groupXVI.9680696.9680571	125.94	286.63	126	55.89	0.05	0.01
Gasterosteus_aculeatus.groupXVII.12028390.12028212	177.00	234.58	177	45.10	0.00	0.04
Gasterosteus_aculeatus.groupXVII.12062536.12062339	197.12	225.17	198	51.38	0.44	0.03
Gasterosteus_aculeatus.groupXVII.14050354.14050159	191.62	216.16	192	55.28	0.20	0.00
Gasterosteus_aculeatus.groupXVII.14128819.14128957	130.56	125.94	135	60.21	3.29	0.04
Gasterosteus_aculeatus.groupXVII.1430671.1430812	139.10	138.13	141	61.63	1.35	0.02
Gasterosteus_aculeatus.groupXVII.14589017.14589202	180.00	165.53	186	56.11	3.23	0.07
Gasterosteus_aculeatus.groupXVII.1705921.1705733	188.94	255.29	189	60.92	0.03	0.01
Gasterosteus_aculeatus.groupXVII.4136326.4136194	129.57	132.46	132	50.07	1.84	0.02
Gasterosteus_aculeatus.groupXVII.5218778.5218485	291.86	308.67	294	63.62	0.73	0.02
Gasterosteus_aculeatus.groupXVII.522242.522067	171.56	222.86	174	64.82	1.40	0.02
Gasterosteus_aculeatus.groupXVII.5477578.5477129	457.07	236.14	459	60.18	0.42	0.06
Gasterosteus_aculeatus.groupXVII.5499489.5499766	272.91	252.57	276	59.99	1.12	0.05
Gasterosteus_aculeatus.groupXVII.6141615.6141470	141.51	230.00	144	47.99	1.73	0.02
Gasterosteus_aculeatus.groupXVII.6274203.6274520	312.20	174.27	318	54.34	1.82	0.03
Gasterosteus_aculeatus.groupXVII.8479557.8479232	304.03	228.89	315	67.19	3.48	0.06
Gasterosteus_aculeatus.groupXVII.8664195.8664342	144.00	231.36	144	57.42	0.00	0.03
Gasterosteus_aculeatus.groupXVII.9821566.9821357	210.00	242.66	210	52.11	0.00	0.04
Gasterosteus_aculeatus.groupXVII.9821992.9821686	296.31	201.69	300	61.11	1.23	0.03
Gasterosteus_aculeatus.groupXVIII.10382563.10382417	144.00	251.59	144	55.95	0.00	0.05
Gasterosteus_aculeatus.groupXVIII.10387949.10387773	176.94	284.52	177	39.75	0.04	0.02
Gasterosteus_aculeatus.groupXVIII.10682118.10682294	158.72	186.05	162	55.51	2.02	0.03
Gasterosteus_aculeatus.groupXVIII.10697957.10698137	179.55	246.62	180	55.69	0.25	0.02
Gasterosteus_aculeatus.groupXVIII.11082912.11082460	407.00	176.33	435	60.28	6.44	0.13
Gasterosteus_aculeatus.groupXVIII.11205612.11205735	122.71	273.82	123	54.32	0.24	0.01
Gasterosteus_aculeatus.groupXVIII.11229126.11229296	161.66	189.46	168	58.69	3.78	0.04
Gasterosteus_aculeatus.groupXVIII.11401659.11401526	130.67	144.86	132	58.10	1.01	0.03
Gasterosteus_aculeatus.groupXVIII.11429336.11429200	132.63	117.29	135	69.39	1.75	0.02
Gasterosteus_aculeatus.groupXVIII.11438125.11438263	133.95	185.22	135	48.87	0.78	0.02
Gasterosteus_aculeatus.groupXVIII.11613606.11613481	125.97	254.18	126	49.35	0.03	0.02
Gasterosteus_aculeatus.groupXVIII.11701297.11701434	126.06	165.14	129	51.13	2.28	0.04
Gasterosteus_aculeatus.groupXVIII.11822143.11822320	172.81	230.86	174	52.37	0.68	0.02
Gasterosteus_aculeatus.groupXVIII.12222245.12222489	242.69	231.06	243	53.56	0.13	0.03
Gasterosteus_aculeatus.groupXVIII.12223119.12223396	264.00	171.02	270	57.73	2.22	0.04
Gasterosteus_aculeatus.groupXVIII.12487606.12487751	139.58	201.76	141	61.87	1.01	0.02
Gasterosteus_aculeatus.groupXVIII.12492229.12492059	170.91	294.77	171	57.24	0.05	0.03
Gasterosteus_aculeatus.groupXVIII.12553810.12553671	138.00	247.82	138	57.20	0.00	0.02
Gasterosteus_aculeatus.groupXVIII.13380104.13379981	118.52	175.86	120	60.58	1.24	0.01
Gasterosteus_aculeatus.groupXVIII.13790008.13789871	131.82	181.01	135	62.38	2.36	0.03
Gasterosteus_aculeatus.groupXVIII.14058466.14058282	149.58	164.12	171	62.00	12.53	0.03
Gasterosteus_aculeatus.groupXVIII.15007980.15007775	203.84	234.15	204	54.51	0.08	0.02
Gasterosteus_aculeatus.groupXVIII.3061777.3061899	117.78	201.05	120	48.03	1.85	0.01
Gasterosteus_aculeatus.groupXVIII.3245898.3245650	243.48	262.04	246	62.24	1.02	0.01
Gasterosteus_aculeatus.groupXVIII.3258327.3258166	161.75	259.15	162	48.15	0.16	0.02
Gasterosteus_aculeatus.groupXVIII.3413358.3413221	134.91	264.05	138	58.38	2.24	0.02
Gasterosteus_aculeatus.groupXVIII.5506526.5506933	399.57	194.85	405	63.45	1.34	0.02
Gasterosteus_aculeatus.groupXVIII.5823115.5823293	169.85	199.69	171	60.80	0.67	0.07
Gasterosteus_aculeatus.groupXVIII.7511499.7511376	121.26	210.96	123	54.18	1.41	0.03
Gasterosteus_aculeatus.groupXVIII.7539187.7539023	164.97	293.95	165	44.42	0.02	0.01
Gasterosteus_aculeatus.groupXVIII.8695547.8695737	185.38	177.26	189	53.46	1.91	0.03
Gasterosteus_aculeatus.groupXVIII.9308800.9308926	123.94	204.06	126	50.87	1.64	0.03
Gasterosteus_aculeatus.groupXVIII.9606470.9606276	194.91	243.63	195	61.66	0.05	0.03
Gasterosteus_aculeatus.groupXVIII.978292.978023	266.66	218.23	267	57.75	0.13	0.04
Gasterosteus_aculeatus.groupXX.10526127.10525955	167.97	246.02	168	51.55	0.02	0.04
Gasterosteus_aculeatus.groupXX.10657776.10657529	244.32	221.87	246	54.20	0.68	0.02
Gasterosteus_aculeatus.groupXX.10725140.10724986	152.87	269.95	153	50.03	0.08	0.03
Gasterosteus_aculeatus.groupXX.11386432.11386214	222.75	99.75	225	59.66	1.00	0.12
Gasterosteus_aculeatus.groupXX.11912026.11911904	119.86	234.55	120	53.86	0.12	0.02
Gasterosteus_aculeatus.groupXX.12636174.12636047	124.57	212.08	126	60.66	1.14	0.02
Gasterosteus_aculeatus.groupXX.12725449.12725273	168.84	209.46	174	59.72	2.97	0.02
Gasterosteus_aculeatus.groupXX.12848020.12848150	117.00	297.88	117	53.04	0.00	0.04
Gasterosteus_aculeatus.groupXX.12852256.12852107	145.28	267.12	147	56.79	1.17	0.02
Gasterosteus_aculeatus.groupXX.13184699.13184552	143.66	258.84	144	57.90	0.23	0.03
Gasterosteus_aculeatus.groupXX.13427022.13426822	197.66	214.15	198	52.08	0.17	0.03
Gasterosteus_aculeatus.groupXX.14880288.14880159	125.91	240.63	126	60.00	0.08	0.02
Gasterosteus_aculeatus.groupXX.15628012.15628244	224.22	240.26	237	64.92	5.39	0.05
Gasterosteus_aculeatus.groupXX.158613.159330	709.54	205.15	717	64.19	1.04	0.02
Gasterosteus_aculeatus.groupXX.163719.163940	216.24	185.95	219	62.00	1.26	0.02
Gasterosteus_aculeatus.groupXX.164552.164755	198.55	184.47	204	61.21	2.67	0.04
Gasterosteus_aculeatus.groupXX.17383619.17383395	224.97	238.94	225	53.63	0.01	0.02
Gasterosteus_aculeatus.groupXX.17724770.17724936	142.54	227.58	144	55.51	1.01	0.03
Gasterosteus_aculeatus.groupXX.18653582.18653731	147.19	277.54	150	58.94	1.88	0.03
Gasterosteus_aculeatus.groupXX.2295562.2295423	137.65	192.27	138	62.63	0.25	0.02
Gasterosteus_aculeatus.groupXX.2571877.2572088	206.10	182.72	210	58.45	1.86	0.03
Gasterosteus_aculeatus.groupXX.3230241.3229727	502.58	212.89	513	57.80	2.03	0.04
Gasterosteus_aculeatus.groupXX.3270272.3270069	192.00	231.39	192	53.40	0.00	0.06
Gasterosteus_aculeatus.groupXX.3470303.3469995	305.13	189.66	306	62.44	0.28	0.02
Gasterosteus_aculeatus.groupXX.4988515.4988666	149.87	239.14	150	55.96	0.09	0.04
Gasterosteus_aculeatus.groupXX.6452703.6452921	218.60	300.17	219	52.15	0.18	0.02
Gasterosteus_aculeatus.groupXX.7791482.7791250	231.00	282.36	231	50.98	0.00	0.02
Gasterosteus_aculeatus.groupXX.8138072.8138252	179.51	269.30	180	56.68	0.27	0.03
Gasterosteus_aculeatus.groupXX.8228544.8228350	185.90	204.65	186	55.50	0.05	0.04
Gasterosteus_aculeatus.groupXX.9013764.9013270	488.71	258.91	492	59.87	0.67	0.03
Gasterosteus_aculeatus.groupXXI.11663956.11664125	167.22	162.06	168	64.91	0.46	0.02
Gasterosteus_aculeatus.groupXXI.11665464.11665589	123.34	112.36	126	63.02	2.11	0.04
Gasterosteus_aculeatus.groupXXI.2067209.2067348	137.74	262.60	138	47.80	0.19	0.01
Gasterosteus_aculeatus.groupXXI.2124406.2124205	201.00	257.79	201	54.47	0.00	0.02
Gasterosteus_aculeatus.groupXXI.2129585.2129361	224.74	309.01	225	54.74	0.11	0.02
Gasterosteus_aculeatus.groupXXI.2700451.2700266	182.08	219.95	183	54.77	0.50	0.02
Gasterosteus_aculeatus.groupXXI.5771420.5771246	170.14	210.71	171	57.94	0.51	0.03
Gasterosteus_aculeatus.groupXXI.5947362.5947064	204.00	301.07	204	51.52	0.00	0.01
Gasterosteus_aculeatus.groupXXI.663026.663196	162.21	213.86	165	57.25	1.69	0.03
Gasterosteus_aculeatus.groupXXI.7005783.7005410	349.78	183.20	366	58.55	4.43	0.03
Gasterosteus_aculeatus.groupXXI.7239912.7240072	134.85	343.48	135	47.01	0.11	0.02
Gasterosteus_aculeatus.groupXXI.7247458.7247624	165.00	250.23	165	42.51	0.00	0.01
Gasterosteus_aculeatus.groupXXI.7730562.7729574	507.00	162.91	516	52.87	1.74	0.08
Gasterosteus_aculeatus.groupXXI.7998603.7998854	244.47	212.56	246	55.95	0.62	0.03
Gasterosteus_aculeatus.groupXXI.8714495.8714364	131.73	272.16	132	55.96	0.21	0.00
Gasterosteus_aculeatus.groupXXI.8793629.8793003	570.00	68.33	624	61.07	8.65	0.06
Gasterosteus_aculeatus.groupXXI.9082048.9082180	130.87	291.96	132	53.81	0.86	0.02
Gasterosteus_aculeatus.groupXXI.9100127.9100284	155.69	309.62	156	56.11	0.20	0.01
Gasterosteus_aculeatus.scaffold_106.26919.26778	123.76	163.35	132	51.07	6.24	0.05
Gasterosteus_aculeatus.scaffold_106.333563.333072	422.31	183.40	432	55.78	2.24	0.06
Gasterosteus_aculeatus.scaffold_120.265946.265799	135.75	92.28	144	60.37	5.73	0.05
Gasterosteus_aculeatus.scaffold_121.149288.149128	158.10	195.12	159	62.62	0.57	0.03
Gasterosteus_aculeatus.scaffold_126.132619.132475	143.88	225.27	144	59.26	0.09	0.02
Gasterosteus_aculeatus.scaffold_126.133694.133573	118.65	182.75	120	62.94	1.12	0.02
Gasterosteus_aculeatus.scaffold_126.133903.133776	123.97	141.83	126	57.59	1.61	0.03
Gasterosteus_aculeatus.scaffold_126.152577.152801	220.09	159.36	225	63.88	2.18	0.04
Gasterosteus_aculeatus.scaffold_128.142281.142562	242.26	307.89	243	57.03	0.31	0.02
Gasterosteus_aculeatus.scaffold_175.170681.170835	153.79	102.66	159	68.97	3.28	0.03
Gasterosteus_aculeatus.scaffold_221.53944.53808	130.81	224.73	132	56.88	0.90	0.02
Gasterosteus_aculeatus.scaffold_221.54430.54293	134.24	204.57	135	57.25	0.56	0.06
Gasterosteus_aculeatus.scaffold_247.21106.21295	156.19	202.35	159	59.56	1.77	0.02
Gasterosteus_aculeatus.scaffold_27.1015233.1015094	136.22	227.43	138	50.77	1.29	0.03
Gasterosteus_aculeatus.scaffold_27.1038639.1038391	245.85	282.48	252	50.09	2.44	0.02
Gasterosteus_aculeatus.scaffold_27.1153898.1154115	214.52	234.06	216	49.81	0.69	0.02
Gasterosteus_aculeatus.scaffold_27.1192636.1192509	125.71	269.32	126	44.70	0.23	0.01
Gasterosteus_aculeatus.scaffold_27.1194263.1194125	132.00	189.31	135	52.43	2.22	0.03
Gasterosteus_aculeatus.scaffold_27.2151985.2152141	155.26	252.73	156	53.90	0.48	0.05
Gasterosteus_aculeatus.scaffold_27.2530031.2530153	116.60	244.34	117	59.18	0.34	0.03
Gasterosteus_aculeatus.scaffold_27.3059659.3059854	194.55	292.74	195	53.77	0.23	0.03
Gasterosteus_aculeatus.scaffold_27.3064071.3064227	150.00	265.18	150	56.38	0.00	0.02
Gasterosteus_aculeatus.scaffold_27.3283117.3282945	169.82	279.29	171	51.27	0.69	0.02
Gasterosteus_aculeatus.scaffold_27.3284303.3284165	137.37	234.75	138	56.65	0.46	0.01
Gasterosteus_aculeatus.scaffold_27.3878441.3878285	152.69	360.21	153	47.03	0.20	0.01
Gasterosteus_aculeatus.scaffold_324.12639.12418	218.76	167.08	222	64.18	1.46	0.03
Gasterosteus_aculeatus.scaffold_47.1369221.1369429	197.87	200.30	201	59.98	1.56	0.03
Gasterosteus_aculeatus.scaffold_47.1540967.1539756	1206.00	204.50	1209	57.87	0.25	0.13
Gasterosteus_aculeatus.scaffold_47.653221.653093	125.21	147.05	129	61.96	2.94	0.04
Gasterosteus_aculeatus.scaffold_48.1087538.1087236	252.00	289.75	252	58.53	0.00	0.09
Gasterosteus_aculeatus.scaffold_48.1214068.1213901	146.00	86.50	168	56.03	13.10	0.06
Gasterosteus_aculeatus.scaffold_56.59563.59761	181.39	181.45	186	56.30	2.48	0.08
Gasterosteus_aculeatus.scaffold_58.405795.405941	145.86	206.34	147	54.64	0.78	0.05
Gasterosteus_aculeatus.scaffold_58.604158.603910	240.49	225.43	246	60.57	2.24	0.05
Gasterosteus_aculeatus.scaffold_68.580204.580024	174.75	67.25	177	50.98	1.27	0.10
Gasterosteus_aculeatus.scaffold_74.218766.218909	137.55	142.11	141	59.01	2.45	0.02
Gasterosteus_aculeatus.scaffold_76.225290.225088	199.11	233.86	201	57.76	0.94	0.02
Gasterosteus_aculeatus.scaffold_84.60429.60582	147.25	195.69	150	58.76	1.83	0.05
Gasterosteus_aculeatus.scaffold_88.441617.441789	165.71	246.34	168	59.16	1.37	0.02
Gasterosteus_aculeatus.scaffold_90.164561.164758	191.04	190.09	192	65.80	0.50	0.02
Gasterosteus_aculeatus.scaffold_938.4417.4287	126.73	116.18	129	58.27	1.76	0.09
Gasterosteus_aculeatus.scaffold_95.419425.419191	231.27	247.27	234	56.25	1.17	0.04
Gasterosteus_aculeatus.scaffold_98.34962.34698	263.97	273.96	264	54.76	0.01	0.03
Gasterosteus_aculeatus.scaffold_98.40443.41507	1024.38	257.94	1062	59.07	3.54	0.02
Gasterosteus_aculeatus.scaffold_99.131079.130887	191.42	223.96	192	52.61	0.30	0.04
Oryzias_latipes.1.14410545.14410422	119.25	207.14	120	52.08	0.62	0.02
Oryzias_latipes.1.15026039.15026243	204.00	217.11	204	58.38	0.00	0.02
Oryzias_latipes.1.21481398.21481529	118.64	209.97	120	46.18	1.13	0.01
Oryzias_latipes.1.22062829.22062952	120.00	331.67	120	51.09	0.00	0.01
Oryzias_latipes.1.22148461.22148745	277.50	194.98	279	60.81	0.54	0.02
Oryzias_latipes.1.2307747.2307541	202.80	270.47	204	52.46	0.59	0.03
Oryzias_latipes.1.2328602.2328440	158.90	260.17	159	50.45	0.06	0.02
Oryzias_latipes.1.2473136.2472909	224.38	239.18	225	61.80	0.28	0.02
Oryzias_latipes.1.29964131.29963978	142.95	106.04	150	53.97	4.70	0.05
Oryzias_latipes.1.30879819.30879967	143.84	213.28	144	56.16	0.11	0.02
Oryzias_latipes.1.31273289.31273134	142.93	223.44	144	64.12	0.74	0.04
Oryzias_latipes.1.32047282.32047127	147.07	210.93	150	55.55	1.96	0.03
Oryzias_latipes.1.34004068.34003856	212.33	228.33	213	55.03	0.32	0.03
Oryzias_latipes.1.34009792.34009637	151.79	251.61	153	51.78	0.79	0.04
Oryzias_latipes.1.34011552.34011354	193.45	218.58	198	55.79	2.30	0.02
Oryzias_latipes.1.3830092.3830237	139.36	211.58	141	60.30	1.17	0.02
Oryzias_latipes.1.39802452.39802607	152.82	315.65	153	57.86	0.12	0.02
Oryzias_latipes.1.3993708.3993553	148.58	134.97	153	56.95	2.89	0.03
Oryzias_latipes.1.4813851.4813719	131.00	221.81	132	59.48	0.76	0.02
Oryzias_latipes.1.924695.924468	225.75	196.92	228	63.69	0.99	0.03
Oryzias_latipes.10.12252121.12251947	166.33	264.43	168	46.61	0.99	0.04
Oryzias_latipes.10.13398696.13398557	137.89	265.31	138	54.80	0.08	0.03
Oryzias_latipes.10.13399911.13399777	132.00	301.53	132	45.78	0.00	0.01
Oryzias_latipes.10.14409527.14409731	200.71	311.09	201	52.33	0.14	0.01
Oryzias_latipes.10.2012713.2012582	128.71	258.01	129	48.78	0.23	0.02
Oryzias_latipes.10.2013268.2013119	134.39	276.26	138	57.55	2.61	0.03
Oryzias_latipes.10.22289332.22289598	257.35	229.93	258	64.39	0.25	0.02
Oryzias_latipes.10.22583341.22583475	131.36	202.38	132	52.46	0.49	0.04
Oryzias_latipes.10.22624103.22624320	211.44	200.30	216	62.34	2.11	0.03
Oryzias_latipes.10.22643586.22643777	186.11	201.21	189	62.53	1.53	0.04
Oryzias_latipes.10.22749545.22749349	184.62	191.77	195	60.16	5.32	0.04
Oryzias_latipes.10.6312653.6312533	119.78	255.75	120	46.53	0.18	0.02
Oryzias_latipes.10.6811316.6812001	603.87	311.28	609	58.72	0.84	0.04
Oryzias_latipes.10.6836748.6837064	310.57	277.33	312	63.23	0.46	0.03
Oryzias_latipes.11.10855640.10855822	180.00	261.44	183	57.32	1.64	0.02
Oryzias_latipes.11.16335629.16335412	157.91	125.28	168	58.42	6.00	0.05
Oryzias_latipes.11.17363490.17363654	159.35	176.50	165	62.24	3.43	0.02
Oryzias_latipes.11.18479350.18479156	189.80	217.91	195	61.77	2.67	0.04
Oryzias_latipes.11.21990218.21990355	137.39	255.71	138	50.85	0.44	0.02
Oryzias_latipes.11.22682482.22682612	129.00	284.09	129	46.38	0.00	0.01
Oryzias_latipes.11.8351823.8351694	126.83	170.39	129	44.73	1.68	0.05
Oryzias_latipes.11.8635871.8636379	489.56	150.41	516	62.40	5.12	0.03
Oryzias_latipes.11.9574612.9574911	291.70	258.16	297	59.59	1.79	0.06
Oryzias_latipes.11.9811901.9811544	351.97	243.34	357	55.17	1.41	0.01
Oryzias_latipes.12.12312497.12312371	124.71	196.10	126	55.41	1.02	0.02
